index,molecule,actual,average_prediction,standard_deviation
0,AgBa,4.52,4.521784309056946,0.002724498828007198
1,AgBa,4.52,4.521002446099483,0.0026859256899874
2,AgBe,0.71,0.7108805976077345,0.0015343960435320852
3,AgBe,0.71,0.709960291527933,0.001446243164830925
4,AgBr,5.62,5.624278138867253,0.00806309893109766
5,AgBr,5.62,5.622048642336495,0.007289638728741854
6,AgCa,2.62,2.6202745607005657,0.0017030443690747533
7,AgCa,2.62,2.619709877538647,0.001716747282474407
8,AgCl,6.08,6.075074476464454,0.008514615235936171
9,AgCl,6.08,6.078464941486467,0.00849459033237626
10,AgCs,9.75,9.7492140784036,0.0027759190159837186
11,AgCs,9.75,9.749532594616257,0.0027048801546442932
12,AgCu,0.037,0.038725477508630146,0.0027673938072279533
13,AgCu,0.037,0.03552317529753741,0.002864617307363569
14,AgF,6.22,6.208209410715032,0.014957910891440293
15,AgF,6.22,6.206605763630384,0.015019268855983765
16,AgFr,9.2,9.198890726843365,0.0031997307105849073
17,AgFr,9.2,9.200491696877938,0.0031299883542048415
18,AgH,2.86,2.8587558658357817,0.0036906542235413467
19,AgH,2.86,2.8613526521934824,0.003641660171004012
20,AgI,4.55,4.554005012852975,0.009410235699510794
21,AgI,4.55,4.54944499685135,0.0093446326917801
22,AgK,8.5,8.500631565413244,0.003143323558447369
23,AgK,8.5,8.50057385020138,0.002962061318826591
24,AgLi,5.21,5.210191147068915,0.0019676044890820023
25,AgLi,5.21,5.2103545769241455,0.001983677467822117
26,AgMg,1.09,1.0886936334302326,0.0021612081365303044
27,AgMg,1.09,1.0887062307411346,0.002142720860459777
28,AgNa,5.98,5.979781306868381,0.0027376245267679653
29,AgNa,5.98,5.979594978125236,0.00278815993877609
30,AgRa,5.08,5.078136463153183,0.0025929232576529728
31,AgRa,5.08,5.079046610716892,0.00251593372506504
32,AgRb,9.03,9.030710266452072,0.004834229917369797
33,AgRb,9.03,9.029974932873934,0.004910572430780475
34,AgSr,3.57,3.569396462189631,0.0029979141060644003
35,AgSr,3.57,3.570801047284637,0.0028456698636145535
36,AlCl,1.68,1.6717404506789337,0.010358754175983576
37,AlCl,1.68,1.6930138223960107,0.010377097605768455
38,AlF,1.515,1.514512508744162,0.014710414901038645
39,AlF,1.515,1.527410540422819,0.01578455095922911
40,AuCl,3.69,3.6868746583217153,0.005517878257499808
41,AuCl,3.69,3.6868746583217153,0.005517878257499808
42,AuF,4.32,4.309782902711269,0.013065290050938152
43,AuF,4.32,4.306809544690492,0.013082706011216142
44,AuO,2.94,2.939501958789898,0.004961932117370387
45,AuO,2.94,2.940712739592639,0.004516111343889361
46,AuS,2.22,2.2160036001250405,0.006724995675701659
47,AuS,2.22,2.218560337012164,0.007573799002113529
48,BaF,3.17,3.203708420920198,0.028428114804733316
49,BaF,3.17,3.168240721364213,0.025589773929681328
50,BaO,7.954,7.950684539861734,0.007795761812933563
51,BaO,7.954,7.950684539861734,0.007795761812933563
52,BaRa,0.43,0.42861541243579365,0.0032984621748450194
53,BaRa,0.43,0.4290947165106792,0.0034035446684929404
54,BaS,10.86,10.858377209474051,0.0015054327244096708
55,BaS,10.86,10.858377209474051,0.0015054327244096708
56,BeBa,0.6,0.6010173555623558,0.003060034367356542
57,BeBa,0.6,0.6003922930841729,0.0029238682993679922
58,BeCa,0.39,0.39111599771813643,0.002814712492828124
59,BeCa,0.39,0.3905311054840639,0.0026388142797189283
60,BeMg,0.17,0.16917192257752267,0.002916415779773947
61,BeMg,0.17,0.17022422933169312,0.002925697087070033
62,BeRa,0.46,0.45824688465024305,0.003886725965132507
63,BeRa,0.46,0.46001811766045064,0.0040285564082584505
64,BeSr,0.44,0.4411112242000467,0.002872712740212815
65,BeSr,0.44,0.4393640035421534,0.002788014862032001
66,BF,0.5,0.5012513860401665,0.0029419472982205965
67,BF,0.5,0.5012513860401665,0.0029419472982205965
68,BrCl,0.519,0.5306348991494131,0.014813547353904562
69,BrCl,0.519,0.5286538692747633,0.0133793561776659
70,BrF,1.422,1.417978559652552,0.015313583699818306
71,BrF,1.422,1.4003833979601323,0.017215539263322633
72,BrO,1.76,1.74237979669568,0.016815761449882265
73,BrO,1.76,1.7674145407218076,0.011464689668513453
74,CaBa,0.21,0.20858978358046923,0.0022504556588495307
75,CaBa,0.21,0.20927904605441178,0.00224400397859958
76,CaBr,4.36,4.3669849440337005,0.009474486495213541
