index,molecule,actual,average_prediction,standard_deviation
0,AgBa,4.52,4.6357568603351895,0.06625447892310031
1,AgBa,4.52,4.636490888268151,0.06300357976039449
2,AgBe,0.71,0.9338545144508656,0.07370896735632158
3,AgBe,0.71,0.9135054682080915,0.07809839991992411
4,AgBr,5.62,5.569863015384618,0.07063234037242554
5,AgBr,5.62,5.55441235029586,0.07491544171469412
6,AgCa,2.62,2.7059626555555574,0.051486831522387345
7,AgCa,2.62,2.7172688555555573,0.05782655453030042
8,AgCl,6.08,5.861842818212292,0.0980357834379602
9,AgCl,6.08,5.905903958994415,0.08844956386182466
10,AgCs,9.75,9.632731702702701,0.029438605238025453
11,AgCs,9.75,9.642324616216214,0.03817970828932794
12,AgCu,0.037,0.20655326350521797,0.05030545642170096
13,AgCu,0.037,0.2013301407305096,0.04878495948944105
14,AgF,6.22,5.901525169723767,0.12266724282550437
15,AgF,6.22,5.92469267878454,0.11009491448911514
16,AgFr,9.2,9.159549118644076,0.026076287753166835
17,AgFr,9.2,9.15905240677967,0.02617080804660005
18,AgH,2.86,2.8389324777777825,0.053993083042640944
19,AgH,2.86,2.7730818333333387,0.05427327870984667
20,AgI,4.55,4.382431141242944,0.08534676691877993
21,AgI,4.55,4.371190276836164,0.10164763743646443
22,AgK,8.5,8.528249033333331,0.03734207891506329
23,AgK,8.5,8.524609388888889,0.03710376029616624
24,AgLi,5.21,5.023049171220395,0.08695909660447822
25,AgLi,5.21,5.004151486338792,0.09985569070002356
26,AgMg,1.09,1.0418244652406434,0.02658867629450012
27,AgMg,1.09,1.0348479982174703,0.02713698352501975
28,AgNa,5.98,5.898415704918037,0.09670904982353468
29,AgNa,5.98,5.867157459016397,0.10388850513270183
30,AgRa,5.08,4.987964204419885,0.06244776703975122
31,AgRa,5.08,4.990556845303862,0.07564567206082656
32,AgRb,9.03,8.976028369318165,0.021604757759760167
33,AgRb,9.03,8.976265051136346,0.0211201471304031
34,AgSr,3.57,3.669215751351347,0.06606758981955661
35,AgSr,3.57,3.671586248648644,0.07172081222707344
36,AlCl,1.68,2.300845599441345,0.15224571576054965
37,AlCl,1.68,2.3082467581005623,0.1390071168469506
38,AlF,1.515,2.064915725189185,0.1398400454941033
39,AlF,1.515,1.9376287543783752,0.10199742955918967
40,AuCl,3.69,3.4273184782608688,0.08351483185488384
41,AuCl,3.69,3.4273184782608688,0.08351483185488384
42,AuF,4.32,3.8377403531147505,0.19336409060265985
43,AuF,4.32,3.877778052568302,0.16716982219105767
44,AuO,2.94,2.7062507627118637,0.08357354313377163
45,AuO,2.94,2.5694259039548015,0.09057792137376469
46,AuS,2.22,2.164164345505617,0.06680938671395803
47,AuS,2.22,2.036755374843944,0.04871753392654489
48,BaF,3.17,3.7676047666666674,0.17264340587176744
49,BaF,3.17,3.6768109883333335,0.175374035760398
50,BaO,7.954,7.891949002793285,0.08417271151734898
