index,molecule,actual,average_prediction,standard_deviation
0,AgBa,4.52,4.348833865412246,0.0720419854289633
1,AgBa,4.52,4.414499898527844,0.026481444121725865
2,AgBe,0.71,1.0424866990896644,0.0545788237105052
3,AgBe,0.71,1.0520543386590067,0.0706107404568563
4,AgBr,5.62,5.040941566949098,0.13822943274627147
5,AgBr,5.62,5.08967172630105,0.1317530841517274
6,AgCa,2.62,2.7838483451809317,0.055826612307986336
7,AgCa,2.62,2.7808130225989993,0.05605501132756687
8,AgCl,6.08,5.43471746354074,0.1784167893808672
9,AgCl,6.08,5.437051477189649,0.16520291749986246
10,AgCs,9.75,7.4537666937456715,0.15251838106286952
11,AgCs,9.75,7.463101559253867,0.14120808495099985
12,AgCu,0.037,0.5723871421237112,0.06572227242774524
13,AgCu,0.037,0.5375681698668986,0.06262371909302299
14,AgF,6.22,5.095516067939767,0.24904999969809336
15,AgF,6.22,5.426116312221931,0.2215183183944081
16,AgFr,9.2,7.255675953867778,0.1732648555697898
17,AgFr,9.2,7.227931021435704,0.1692282203204465
18,AgH,2.86,3.011237272893519,0.06170479518439496
19,AgH,2.86,2.9815908457663096,0.04362863365339984
20,AgI,4.55,4.557378963443081,0.08070762740999285
21,AgI,4.55,4.59700723379219,0.07370540693317627
22,AgK,8.5,6.99670727885591,0.1504228141042613
23,AgK,8.5,6.9737583412200195,0.14726744968389918
24,AgLi,5.21,5.305183874036796,0.029358813302980864
25,AgLi,5.21,5.310738508276648,0.023934959386755928
26,AgMg,1.09,0.9997685674776533,0.021416771593363047
27,AgMg,1.09,0.9918047041025809,0.007412482429931084
28,AgNa,5.98,6.01472572098569,0.06286622370710758
29,AgNa,5.98,5.9738707739058805,0.06522145094146783
30,AgRa,5.08,4.084655848668976,0.0971467009188193
31,AgRa,5.08,4.104283990341262,0.08348124950124171
32,AgRb,9.03,7.359553590023756,0.16490894255505753
33,AgRb,9.03,7.3314110797834005,0.1625793589038315
34,AgSr,3.57,3.647131752041288,0.042008618648253074
35,AgSr,3.57,3.662447964844777,0.024183521882274347
36,AlCl,1.68,4.280232638122133,0.23448610566838335
37,AlCl,1.68,4.725668497556845,0.20391686824991723
38,AlF,1.515,3.495718714874495,0.28482139783549987
39,AlF,1.515,4.210796216040055,0.21074568390584103
40,AuCl,3.69,3.589818611679525,0.001751228268180725
41,AuCl,3.69,3.589818611679525,0.001751228268180725
42,AuF,4.32,3.8108317071157916,0.14417271817172891
43,AuF,4.32,3.8664642231088204,0.12130404531055423
44,AuO,2.94,3.3759139188174525,0.09147911907229529
45,AuO,2.94,3.110477881828557,0.0658660983643204
46,AuS,2.22,2.21941365389513,0.07096426378463731
47,AuS,2.22,2.116130578210591,0.017020410504238383
48,BaF,3.17,4.675085879218964,0.29859043408522773
49,BaF,3.17,4.114226580604426,0.2675578293669272
50,BaO,7.954,5.879936544235203,0.3220694570421938
51,BaO,7.954,5.879936544235203,0.3220694570421938
52,BaRa,0.43,0.33246946239075137,0.009890587204225951
53,BaRa,0.43,0.3322384001809575,0.008721994747027152
54,BaS,10.86,6.20454950883153,0.21794655690081677
55,BaS,10.86,6.20454950883153,0.21794655690081677
56,BeBa,0.6,0.5283881497052618,0.038319128369675395
57,BeBa,0.6,0.6487507674734388,0.038606430562874626
58,BeCa,0.39,0.42262673579174403,0.04607744584150933
59,BeCa,0.39,0.484187720260784,0.01743445120135961
60,BeMg,0.17,0.19051572217766852,0.056073938110320604
61,BeMg,0.17,0.20115142881860618,0.05801499862725198
62,BeRa,0.46,0.5436685109005654,0.029655896690331383
63,BeRa,0.46,0.5622894571665382,0.01466536411775208
64,BeSr,0.44,0.45332343909643896,0.045751107377841584
65,BeSr,0.44,0.5361230429469784,0.014720657898084128
66,BF,0.5,1.7406813399679948,0.19827522829093022
67,BF,0.5,1.7406813399679948,0.19827522829093022
68,BrCl,0.519,0.619977038227095,0.023963141315614236
69,BrCl,0.519,0.6165287682359234,0.018790486711074743
70,BrF,1.422,1.3266750241230607,0.036631868894854036
71,BrF,1.422,1.3445919525847223,0.04855732903560619
72,BrO,1.76,1.0030183691311572,0.14366896692559963
73,BrO,1.76,0.9639481604188441,0.11025313899301663
