,Molecule,atom 1,atom 2,dipole_moment,electronegativity1,electronegativity2,eletron_affinity1,eletron_affinity2,ionic_potential1,ionic_potential2,ionic_character,Period1,Period2,Group1,Group2,Sum_Ionic,Sum_Affinity,Prod_Ionic,Prod_Affinity,Diff_Ionic,Diff_Affinity,Sum_Electronegativity,Prod_Electronegativity,Diff_Electronegativity,Source,ionic_character_4th_root,Prod_Ionic_Recip,ionic_character_2nd_root,Diff_Ionic_4th_root
0,AgBa,Ag,Ba,4.52,1.93,0.89,1.304,0.144,7.5762,5.2117,20.4256,5,6,11,2,12.7879,1.448,39.48488154,0.187776,2.3645,1.16,2.82,1.7177,1.04,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.1259042770919274,0.0253261491740061,4.519468995357751,1.2400375306044944
1,AgBa,Ba,Ag,4.52,0.89,1.93,0.144,1.304,5.2117,7.5762,20.4256,6,5,2,11,12.7879,1.448,39.48488154,0.187776,2.3645,1.16,2.82,1.7177,1.04,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.1259042770919274,0.0253261491740061,4.519468995357751,1.2400375306044944
2,AgBe,Ag,Be,0.71,1.93,1.57,1.304,-0.5,7.5762,9.3227,6.2136,5,2,11,2,16.8989,0.804,70.63063974,-0.652,1.7465,1.804,3.5,3.0301,0.36,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",1.5788316469278536,0.0141581614393005,2.4927093693409184,1.149587803422022
3,AgBe,Be,Ag,0.71,1.57,1.93,-0.5,1.304,9.3227,7.5762,6.2136,2,5,2,11,16.8989,0.804,70.63063974,-0.652,1.7465,1.804,3.5,3.0301,0.36,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",1.5788316469278536,0.0141581614393005,2.4927093693409184,1.149587803422022
4,AgBr,Ag,Br,5.62,1.93,2.96,1.304,3.363,7.5762,11.8138,20.19315,5,4,11,17,19.39,4.667,89.50371156,4.385352,4.2376,2.059,4.89,5.7128,1.03,"K.P.R. Nair, J. Hoeft,
Electric dipole moment of the diatomic AgBr molecule,
Chemical Physics Letters,
Volume 102, Issue 5,
1983,
Pages 438-439,
",2.119829920945325,0.0111727210254251,4.493678893735066,1.434762410362416
5,AgBr,Br,Ag,5.62,2.96,1.93,3.363,1.304,11.8138,7.5762,20.19315,4,5,17,11,19.39,4.667,89.50371156,4.385352,4.2376,2.059,4.89,5.7128,1.03,"K.P.R. Nair, J. Hoeft,
Electric dipole moment of the diatomic AgBr molecule,
Chemical Physics Letters,
Volume 102, Issue 5,
1983,
Pages 438-439,
",2.119829920945325,0.0111727210254251,4.493678893735066,1.434762410362416
6,AgCa,Ag,Ca,2.62,1.93,1.0,1.304,0.024,7.5762,6.1132,17.90715,5,4,11,2,13.6894,1.328,46.31482584,0.031296,1.463,1.28,2.93,1.93,0.93,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.05710574884494,0.0215913583148216,4.2316840619309,1.0997933301928526
7,AgCa,Ca,Ag,2.62,1.0,1.93,0.024,1.304,6.1132,7.5762,17.90715,4,5,2,11,13.6894,1.328,46.31482584,0.031296,1.463,1.28,2.93,1.93,0.93,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.05710574884494,0.0215913583148216,4.2316840619309,1.0997933301928526
8,AgCl,Ag,Cl,6.08,1.93,3.16,1.304,3.612,7.5762,12.9676,24.97515,5,3,11,17,20.5438,4.916,98.24513112,4.710048,5.3914,2.308,5.09,6.0988,1.23,"K P R Nair and J Hoeft 1984 J. Phys. B: Atom. Mol. Phys. 17 735
",2.235512107363858,0.0101786214604219,4.9975143821704,1.5237909453127885
9,AgCl,Cl,Ag,6.08,3.16,1.93,3.612,1.304,12.9676,7.5762,24.97515,3,5,17,11,20.5438,4.916,98.24513112,4.710048,5.3914,2.308,5.09,6.0988,1.23,K P R Nair and J Hoeft 1984 J. Phys. B: Atom. Mol. Phys. 17 735,2.235512107363858,0.0101786214604219,4.9975143821704,1.5237909453127885
10,AgCs,Ag,Cs,9.75,1.93,0.79,1.304,0.4715983,7.5762,3.8939,22.7886,5,6,11,1,11.4701,1.7755983,29.50096518,0.6149641832,3.6823,0.8324017,2.72,1.5247,1.14,"Michał Śmiłkowski and Michał Tomza, Highly polar molecules consisting of a copper or silver atom interacting with an alkali-metal or alkaline-earth-metal atom, Physical Review A, vol. 103, no. 2, p. 022802, February 2021. DOI: 10.1103/PhysRevA.103.022802.",2.184889166899016,0.0338971960374348,4.773740671632677,1.3852552092037689
