index,molecule,actual,average_prediction,standard_deviation
0,AgBa,4.52,4.5572394973974175,0.03251586672030862
1,AgBa,4.52,4.623521871173919,0.04615356128790608
2,AgBe,0.71,0.7348877012873009,0.0292067809383254
3,AgBe,0.71,0.7331516201426502,0.028509084510472057
4,AgBr,5.62,5.617538160810974,0.024906259540722647
5,AgBr,5.62,5.607476631898093,0.02041654344220426
6,AgCa,2.62,2.663103264432545,0.02619944338847509
7,AgCa,2.62,2.658726239067453,0.028753108480134217
8,AgCl,6.08,5.933729941664351,0.03822505720071118
9,AgCl,6.08,6.021002345063301,0.028957465227925513
10,AgCs,9.75,9.617549574539709,0.026474311810470795
11,AgCs,9.75,9.582246470262628,0.0335574739863539
12,AgCu,0.037,0.07002215507401717,0.007653462268172812
13,AgCu,0.037,0.0622226841655289,0.006926197938994118
14,AgF,6.22,5.999548801018044,0.038668974727570124
15,AgF,6.22,6.016386105615842,0.02776721478875746
16,AgFr,9.2,9.223718306957727,0.026820513917007245
17,AgFr,9.2,9.217608351311549,0.02766732098036806
18,AgH,2.86,2.875035737125617,0.016921720247310947
19,AgH,2.86,2.8699388823974625,0.016344639779947396
20,AgI,4.55,4.619396995697776,0.01636450819108773
21,AgI,4.55,4.610773560482208,0.016723772604235864
22,AgK,8.5,8.455525186883472,0.029124091763545922
23,AgK,8.5,8.459434176925331,0.029889438240758664
24,AgLi,5.21,5.2996466147874175,0.026985292238276986
25,AgLi,5.21,5.3036651820124,0.026268547062917112
26,AgMg,1.09,1.0482416634970393,0.014720072557067424
27,AgMg,1.09,1.0421094267469915,0.017024229608675463
28,AgNa,5.98,6.186587884640749,0.03160933388918542
29,AgNa,5.98,6.165862460119158,0.03478080583556651
30,AgRa,5.08,4.937838095148033,0.021227188347509217
31,AgRa,5.08,4.935112286115985,0.022190652463377997
32,AgRb,9.03,8.99954403906738,0.028041763199166115
33,AgRb,9.03,8.991183542116543,0.029358326366689485
34,AgSr,3.57,3.579579507108664,0.021075774679542646
35,AgSr,3.57,3.6095629903485924,0.027219374477788546
36,AlCl,1.68,1.8653683978381987,0.03778586023517918
37,AlCl,1.68,1.8957222987805784,0.04361235445950841
38,AlF,1.515,1.6732752253659224,0.04752321263756278
39,AlF,1.515,1.7255401060008073,0.051750703066694444
40,AuCl,3.69,3.707722503951553,0.016117581202377808
41,AuCl,3.69,3.707722503951553,0.016117581202377808
42,AuF,4.32,4.397170018330665,0.0383475699448227
43,AuF,4.32,4.394660810094632,0.02935769443393607
44,AuO,2.94,3.0202640736053583,0.03779827076318421
45,AuO,2.94,3.021860676809911,0.029367859512629005
46,AuS,2.22,2.195973789841532,0.023754246379911536
47,AuS,2.22,2.206727078245406,0.020158205835235372
48,BaF,3.17,3.4396448481318647,0.07655655637473305
